"Titles","Year","Cited by","Link"
"A common core-based cyber ontology in support of cross-domain situational awareness","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050185894&doi=10.1117%2f12.2307719&partnerID=40&md5=c2887244e8fcabc02988c63575395cfe"
"Big Data Meet Cyber-Physical Systems: A Panoramic Survey","2018","155","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056598701&doi=10.1109%2fACCESS.2018.2878681&partnerID=40&md5=ee01b8801722913996b71ea0be3eea7b"
"Mitigation of target tracking errors and sUAS response using multi sensor data fusion","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049666571&doi=10.1007%2f978-3-319-94211-7_22&partnerID=40&md5=45daffa16abbd27c4d657e5fdb87b1ba"
"Best practices for designing and conducting cyber-physical system wargames","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051704123&partnerID=40&md5=a9eb40583c9193cfde1ddedcfce9fef5"
"Benchmarking a LIDAR obstacle perception system for aircraft autonomy","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050792225&doi=10.1117%2f12.2305215&partnerID=40&md5=2003047eb192c799fecf98890968d554"
"ABS-DDoS: An Agent-Based Simulator about Strategies of Both DDoS Attacks and Their Defenses, to Achieve Efficient Data Forwarding in Sensor Networks and IoT Devices","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049843545&doi=10.1155%2f2018%2f7264269&partnerID=40&md5=a28b23d4275304495c240c6143fd53f8"
"Exploiting the diversity of information sources for enhanced information collection","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050210732&doi=10.1117%2f12.2307197&partnerID=40&md5=6e701b5036ac6650429a5356a0ff6ddf"
"Some LO-UCAV directional control issues","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051697892&doi=10.2514%2f6.2018-3330&partnerID=40&md5=f1c2939e0a643f2410f47f5a347adffa"
"An optimisation research on two-dimensional age-replacement interval of two-dimensional products","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052860695&doi=10.1504%2fijhpcn.2018.094364&partnerID=40&md5=22eee51dc79bdd69f5bfacb3854c76c6"
"From keyhole to big brother: The legacies of early cold war surveillance","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051862088&doi=10.24908%2fss.v16i2.7000&partnerID=40&md5=f976df2bc93b625b6c83d90420c665f5"
"A systematic review of 10 Years of Augmented Reality usability studies: 2005 to 2014","2018","227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050081529&doi=10.3389%2ffrobt.2018.00037&partnerID=40&md5=df9faa514888f8e90795eceb39b46140"
"Decentralized message broker federation architecture with multiple DHT rings for high survivability","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049952105&doi=10.1007%2f978-3-319-95174-4_18&partnerID=40&md5=8dce3eff51d98bcfdf9c03ee7f69de55"
"Nanosecond-laser induced crosstalk of CMOS image sensor","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049612586&doi=10.1117%2f12.2315234&partnerID=40&md5=47ff77818d3ae7897a27ae3d7dd307c5"
"A state-of-The-Art review on solid-state metal joining","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055323012&doi=10.1115%2fMSEC2018-6683&partnerID=40&md5=12b681c94ee92e50420ba2707580e6ba"
"Denial of service attack mitigation addressing all the security attributes in OLSR MANET","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053563935&doi=10.1504%2fIJWMC.2018.094646&partnerID=40&md5=27e11bc8e669e727d2ea48b86c30a19a"
"Finite size narrow-band transmission filters for real-time short wave IR spectroscopy and imaging","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050967411&doi=10.1117%2f12.2304665&partnerID=40&md5=a83c450d2405dbbc21353f4156078c53"
"Integrated Topology Management in Flying Ad Hoc Networks: Topology Construction and Adjustment","2018","41","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055037597&doi=10.1109%2fACCESS.2018.2875679&partnerID=40&md5=fa05ca205a4b887a07d7915fca0d43de"
"Establishing a soldier Wireless Sensor Network (WSN) communication for military operation monitoring","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054624674&doi=10.3923%2fjeasci.2018.6686.6691&partnerID=40&md5=f4fd68b028f565167454dfe581c9fcd7"
"The Wearing Comfort and Acceptability of Ambulatory Physical Activity Monitoring Devices in Soldiers","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052082205&doi=10.1080%2f24725838.2018.1435431&partnerID=40&md5=bd9d3071401d9a67071bbfb3a51bffca"
"Optimization of nonuniform linear antenna array topology","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054069533&doi=10.15598%2faeee.v16i3.2841&partnerID=40&md5=7a6d41442427c726348f7382d276a0fe"
"Revolution-based processing of oscillatory signals in rotating equipment","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051734094&doi=10.2514%2f6.2018-3099&partnerID=40&md5=0a73b6324c9ceaf02b17ffa33b76cf3f"
"A framework for efficient recognition and classification of Acute Lymphoblastic Leukemia with a Novel Customized-KNN classifier","2018","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056584347&doi=10.20532%2fcit.2018.1004123&partnerID=40&md5=c2ceb9550cb8beb66162020afc6b1590"
"Detecting underground structures in Cyprus using field spectroscopy","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052701806&doi=10.1117%2f12.2324270&partnerID=40&md5=d1b714bd5c863c2213ab8a206c0bb697"
"Data fidelity in the post-truth era part 1: Network data","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051640997&partnerID=40&md5=228a464e2f507d8502d128af7824a35a"
"Validation of a maritime usability study with eye tracking data","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050471717&doi=10.1007%2f978-3-319-91467-1_22&partnerID=40&md5=ff5c35a25408263059f42b202d689d95"
"GNSS spoofing detection by means of signal quality monitoring (SQM) metric combinations","2018","27","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055174424&doi=10.1109%2fACCESS.2018.2875948&partnerID=40&md5=f95a7f8f5bec5387b372b550218ca3f0"
"Littoral observation by collaborative unmanned systems for target detection","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051671151&doi=10.2514%2f6.2018-3259&partnerID=40&md5=2c482a2359b78f2b66ad7e17f192f251"
"A study on the mechanical shock response of an image sensor unit in an electro-optical targeting system mounted on a military vehicle","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053937566&doi=10.3795%2fksme-a.2018.42.4.391&partnerID=40&md5=79f0dd61419caae2d3cdf89dbac165fe"
"Recent online resources for the analysis of terrorism and related subjects","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054039280&partnerID=40&md5=30170fe6a45b01bf69bfe8ce22482bdf"
"Communication architecture for unmanned aerial vehicle system","2018","21","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053592304&doi=10.1007%2f978-3-030-00247-3_20&partnerID=40&md5=efbba31ec8224f3ac4dff77932c5b4bc"
"Research on the modeling method of UAV swarm operation in cyberspace","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053479210&doi=10.1117%2f12.2504209&partnerID=40&md5=dcd2930b91ea0acab5528f5edbfddbf2"
"Quantitative electrolateral flow immunosensor (ELLI™): Opening new diagnostic frontiers such as dengue triage and secondary stroke prognosis","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050829922&partnerID=40&md5=5ec1d86b25fd7bd0ba4f1b901d06a443"
"Simulation of counter drugs operations based on geospatial technology for use in a military training simulator","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051272973&doi=10.1504%2fIJSPM.2018.093754&partnerID=40&md5=a5a51909e4668ff9a6ed5cb0801d3484"
"UAV, sensor and mission matching approach using the visualization environment","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051642129&doi=10.2514%2f6.2018-3204&partnerID=40&md5=1cfe1abf094d4ce05e33a22add722517"
"Active learning and structure adaptation in teams of heterogeneous agents: Designing organizations of the future","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049675748&doi=10.1117%2f12.2305875&partnerID=40&md5=18c86165f9b2b65d74c1d6998766b4de"
"Multichannel staggered SAR for high-resolution wide-swath imaging","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052406826&partnerID=40&md5=49a8d1bc2f03736ac44bcb3471fcd75c"
"Unmanned aerial system framework for human-robot interaction","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051649874&doi=10.2514%2f6.2018-2984&partnerID=40&md5=ecd2147e3e855044d32b0fa77661fc53"
"Closed-loop linear covariance analysis for hosted payloads","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053677334&doi=10.2514%2f1.G003333&partnerID=40&md5=44d69949382510664f70ce9f7682cbb3"
"Human augmentation of UAV cyber-attack detection","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050472672&doi=10.1007%2f978-3-319-91467-1_13&partnerID=40&md5=490af05218345b32e02f97ead0e9ada6"
"Acetylcholinesterase-functionalized two-dimensional photonic crystals for the detection of organophosphates","2018","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052097325&doi=10.1039%2fc8ra04953j&partnerID=40&md5=17aa4acae4b9069ff71461abab7dbcd5"
"Rebooting Bioresilience: A Multi-OMICS Approach to Tackle Global Catastrophic Biological Risks and Next-Generation Biothreats","2018","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051226009&doi=10.1089%2fomi.2017.0185&partnerID=40&md5=d8f0276471f8fae808bd3465bd6ee107"
"The slot synchronization on space-ground integration data-link","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049625363&doi=10.1117%2f12.2309432&partnerID=40&md5=a1167118ebf6bfad0b680f4c136a3362"
"Performance analysis of a collaborative DSA-based network with malicious nodes","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052824007&doi=10.1007%2f978-3-319-98827-6_6&partnerID=40&md5=783453db3d69ef35dd54b579e87df542"
"Development and performance evaluation of INS/GNSS/radar integrated high precision hybrid navigation system for UAV","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054937399&doi=10.5302%2fJ.ICROS.2018.18.0077&partnerID=40&md5=778e77eb93b3c4bbe3bd1d2f16b8d3fe"
"Towards the evaluation of end-to-end resilience through external consistency","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056453134&doi=10.1007%2f978-3-030-01689-0_8&partnerID=40&md5=fbd30c77ff89724b8b95297b2c0168c1"
"Variable-cycle engine and aircraft technology for small unmanned aircraft systems","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054692138&partnerID=40&md5=783d304f65f2d0885b0cbc6a14f44532"
"Experimental investigation of the fire-extinguishing system with a gas-detonation charge for fluid acceleration","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050218808&doi=10.15587%2f1729-4061.2018.134193&partnerID=40&md5=a427cfa0c4b8bc6b2c98a8f68c4475f0"
"Summary of key technologies of combat intelligent unmanned aerial vehicle","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053443773&doi=10.1117%2f12.2505597&partnerID=40&md5=de4337ac018e6b48c5340499df0c117e"
"Evaluation of boundary layer transition on a large sharp 7-degree cone at mach 10 over a range of velocities and reynolds numbers","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056082034&doi=10.2514%2f6.2018-5323&partnerID=40&md5=1dd1836b2663531457790ffad797a1da"
"Hybrid tests of contact events in air-to-air refueling","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054808827&doi=10.2514%2f1.C034830&partnerID=40&md5=db5729859900a59d31bd44532309458e"
"Real-time motion capture on a budget","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050623786&doi=10.1007%2f978-3-319-91581-4_5&partnerID=40&md5=c38872db2400b9cce49105cf3c5ae5ea"
"A review of the relationship between cyber-physical systems, autonomous vehicles and their trustworthiness","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051751070&partnerID=40&md5=e81c1d8b759827b4235c5a98daf4a95e"
"Research on network design and analysis of TGO topology","2018","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051367030&doi=10.1504%2fIJNVO.2018.093925&partnerID=40&md5=0d0da09f9c1149b84a29954cbd080e68"
"The gap in decision making. The significance of situation awareness and option generation for air traffic controllers' performance; [Die lücke im entscheidungsprozess. Die bedeutsamkeit von situationsbewusstsein und optionsgenerierung für die leistung von fluglotsen]","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052537371&partnerID=40&md5=5bf427a62d176eec3a7e8620ba0c3631"
"Impedance analysis and optimization of self-powered interface circuit for wireless sensor nodes application","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056494450&doi=10.1155%2f2018%2f8475896&partnerID=40&md5=23ffffae186b3c013439980ebf843a0b"
"Utility grid: Present challenges and their potential solutions","2018","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054508377&doi=10.1109%2fACCESS.2018.2873615&partnerID=40&md5=5ef150f192f02eb6f39f01c216d328e9"
"Communication analysis of network-centric warfare via transformation of system of systems model into integrated system model using neural network","2018","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049834364&doi=10.1155%2f2018%2f6201356&partnerID=40&md5=911e02eda5246e64a93f5da09edd9e79"
"Dynamic control performance improvement of the small-sized electro-optic system of unmanned aerial vehicles using the RNTOC and complex gyroscope","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049618663&doi=10.5302%2fJ.ICROS.2018.18.0016&partnerID=40&md5=85e3187f535170c697741040ca2fecba"
"3D ground/air sensor common operating picture","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050188173&doi=10.1117%2f12.2307013&partnerID=40&md5=573dc1f42b9a076cfad74604170e9d63"
"Multi-channel, passive, short-range anti-aircraft defence system","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034037222&doi=10.1016%2fj.ymssp.2017.05.032&partnerID=40&md5=0392390686b2baccdf07ab7670c738b0"
"Three dimensional shape and stress monitoring of bulk carriers based on iFEM methodology","2018","63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033566729&doi=10.1016%2fj.oceaneng.2017.10.040&partnerID=40&md5=fff2b992911cb636f51fba25a4ac672a"
"Experimental Study on Impact Sensitivity of Typical Explosive Grain","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047931735&doi=10.14077%2fj.issn.1007-7812.2018.02.004&partnerID=40&md5=3e5a351be2e842f0ee42d87fd1032d54"
"Scratching the surface of war. Airborne laser scans of the Great War conflict landscape in Flanders (Belgium)","2018","36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037356797&doi=10.1016%2fj.apgeog.2017.11.011&partnerID=40&md5=bdb92ec5ea62f94b6c6bc84ce63600d0"
"Thermal remote sensing approach combined with field spectroscopy for detecting underground structures intended for defence and security purposes in Cyprus","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048046263&doi=10.1117%2f12.2303835&partnerID=40&md5=59f0e67bb72e2aa763f427675db96472"
"Development of the algorithm for aircraft control at inaccurate measurement of the state vector and variable accuracy parameter","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042483005&doi=10.15587%2f1729-4061.2018.123271&partnerID=40&md5=91300a7dd52209503463f6c18c2677c6"
"Probabilistic security analysis through path-based metric evaluation in wireless sensor networks","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044155211&doi=10.14419%2fijet.v7i2.8.10348&partnerID=40&md5=cd4043f153109e682602122a7fc3a8d1"
"Localised information fusion techniques for location discovery in wireless sensor networks","2018","63","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037850244&doi=10.1504%2fIJSNET.2018.088366&partnerID=40&md5=20eaee2004f8414af82815e71cd5912d"
"Aircraft active flutter suppression: State of the art and technology maturation needs","2018","107","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041684499&doi=10.2514%2f1.C034442&partnerID=40&md5=d601743c109e3874452df02aee6f9fbb"
"Defense against Malicious Users in Cooperative Spectrum Sensing Using Genetic Algorithm","2018","22","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041718089&doi=10.1155%2f2018%2f2346317&partnerID=40&md5=4696fe4960763b9da31c7b6d95d9a4db"
"Novel approach for automating medical emergency protocol in military environment","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048379926&doi=10.3233%2fTHC-170852&partnerID=40&md5=055317fb5a59f861d8ef2011f6eb9e6f"
"Wireless sensor networks security issues and challenges: A survey","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048224921&doi=10.14419%2fijet.v7i2.33.13861&partnerID=40&md5=8921c6c2b66e6fc03371613881373936"
"TLR3 contributes to persistent autophagy and heart failure in mice after myocardial infarction","2018","32","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038918609&doi=10.1111%2fjcmm.13328&partnerID=40&md5=ee5e012c2e94ce71d37d1d268db19482"
"High-speed object detection methods","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048356402&doi=10.1117%2f12.2316784&partnerID=40&md5=c283bc8928670bbdcb672341edd91348"
"SDN-based kernel modular countermeasure for intrusion detection","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045997438&doi=10.1007%2f978-3-319-78813-5_14&partnerID=40&md5=02bd79fe2891797c1e73760c5decc8d0"
"Dynamic loads on human and animal surrogates at different test locations in compressed-gas-driven shock tubes","2018","19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030658549&doi=10.1007%2fs00193-017-0762-4&partnerID=40&md5=9e35db1249918883f97d1e9c0f1ce8c4"
"New method of substance detection and identification using the substance emission frequency up-conversion in the THz frequency range","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049166521&doi=10.1117%2f12.2301151&partnerID=40&md5=c0e04b0602862718c010140c3736f9b7"
"Identification of operating fluids with fingerprint method utilization","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048976294&doi=10.22616%2fERDev2018.17.N253&partnerID=40&md5=43d8f31c6c09882eb02a99c57449d7e5"
"Optimal Defense Strategy in WSNs Based on the Game of Multi-stage Intrusion Detection","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047360923&doi=10.11999%2fJEIT170323&partnerID=40&md5=4ebf1428a4b105213cd220514c56ca77"
"Trust management in cognitive radio networks: A survey","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040771664&doi=10.1002%2fnem.1999&partnerID=40&md5=fdc62d226757349d8ac296e411183f94"
"Wind tunnel, simulation, and ""real"" flight of advanced combat aircraft: Industrial perspective","2018","5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045211209&doi=10.2514%2f1.C033696&partnerID=40&md5=8d91814efdfa2531916c7d2234522d14"
"UAV-assisted technique for the detection of malicious and selfish nodes in VANETs","2018","42","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85038444675&doi=10.1016%2fj.vehcom.2017.12.001&partnerID=40&md5=bdf7e96441114d40c30ffceb00090bbc"
"Eye Region detection in fatigue monitoring for the military using AdaBoost algorithm","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044415289&doi=10.1007%2f978-3-319-70016-8_13&partnerID=40&md5=166ced7e58a6a729cad73c5b62080a55"
"Assessment of ecologically prepared carbon-nano-spheres for fabrication of flexible and durable supercell devices","2018","18","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045993065&doi=10.1039%2fc8ta00067k&partnerID=40&md5=8398bd1bba5a3615767f6adbd7f96497"
"Condensation Products of D-Ribose with Thiol-Containing Hydrazides and Gold Glyconanoparticles Thereof","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042883937&doi=10.1134%2fS1070363218010164&partnerID=40&md5=43e3bf6d380f0ff09c7be409fbf40341"
"High-bandwidth acoustic detection system (HBADS) for strip map synthetic aperture acoustic imaging of canonical ground targets using airborne sound and a 16 element receiving array","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048061169&doi=10.1117%2f12.2307679&partnerID=40&md5=63439816bc07032f5d23c0dbfa6094d1"
"Data samplingschemes formicrostructure designwith vibrational tuning constraints","2018","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85043255637&doi=10.2514%2f1.J056170&partnerID=40&md5=9afdea2481ccad84d18e7cb00e427c7d"
"Investigation of gesture based UAV control","2018","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041070312&doi=10.1007%2f978-3-319-60384-1_20&partnerID=40&md5=db15fe23b6e0e728953d34a18afac21f"
"Method for the detection of smallsized air objects by observational radars","2018","12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045661364&doi=10.15587%2f1729-4061.2018.126509&partnerID=40&md5=ac660ebbc906fed00515656334693f59"
"Automated and specific state detection of RDX and TNT using wireless sensor networks","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049536049&doi=10.3923%2fjeasci.2018.2750.2760&partnerID=40&md5=b60f88781f5ead7114fc25ea5c631960"
"Neck kinematics and electromyography while wearing head supported mass during running","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037726866&doi=10.3357%2fAMHP.4955.2018&partnerID=40&md5=e2c173f3c307b0b3836cf1b89c7a1f4b"
"A new cyber security framework towards secure data communication for unmanned aerial vehicle (UAV)","2018","26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046547790&doi=10.1007%2f978-3-319-78816-6_9&partnerID=40&md5=92c1315c333c727743279a96a436600c"
"Fault detection and isolation of an aircraft turbojet engine using a multi-sensor network and multiple model approach","2018","33","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048333586&doi=10.12700%2fAPH.15.1.2018.2.10&partnerID=40&md5=046837146fd36c0687a3f6913c6a8fac"
"Wireless robot for military applications using ARM7 (LPC2148)","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048460906&partnerID=40&md5=5bc80f03c6fb8a5f7ca3bdad2a26a26f"
"Multi-mode diagnosis of a gas turbine engine using an adaptive neuro-fuzzy system","2018","36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040353457&doi=10.1016%2fj.cja.2017.11.017&partnerID=40&md5=e8d76011597b9a2d5c5cbba419811eea"
"A couple of novel stochastic estimators designed and tested to promote the usage of towed arrays on the regular basis for passive tracking","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044422229&doi=10.1007%2f978-981-10-7868-2_61&partnerID=40&md5=5f828baa0fc20353627b903913091588"
"A cost estimation approach for IoT modular architectures implementation in legacy systems","2018","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041669477&doi=10.1016%2fj.promfg.2018.01.015&partnerID=40&md5=fa95fb84714f9680f1efaee534f225bd"
"Modelling and analysis of information-based target searching using mobile sensors","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85037678312&doi=10.1504%2fIJSCC.2018.088336&partnerID=40&md5=23cf131579ef0d4169100f86d9001826"
"Acquisition sensor technologies for improved performance in adverse weather conditions","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049255599&doi=10.1117%2f12.2306072&partnerID=40&md5=b3da33aec70364c3a15ddc67779d75bd"
"Athena: Towards decision-centric anticipatory sensor information delivery†","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041222758&doi=10.3390%2fjsan7010005&partnerID=40&md5=28dc5f788745e19cef2f94c2b2643fd3"
"Oxidative stress response of rainbow trout (Oncorhynchus mykiss) to multiple stressors","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045403676&doi=10.2754%2favb201887010055&partnerID=40&md5=e69a83b14ed5b23e0030187de39629e7"
"Social relationships in rehabilitation and their impact on positive outcomes among amputees with lower limb loss at walter reed national military medical center","2018","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040556642&doi=10.2340%2f16501977-2274&partnerID=40&md5=41b480ddc92cf0f278820572918ed83e"
"Designing anomaly detection system for cloud servers by frequency domain features of system call identifiers and machine learning","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047445013&doi=10.1007%2f978-3-319-90775-8_12&partnerID=40&md5=661811f570ed3bd17ea0b4986af00e34"
"Hardware trojans: An austere menace ahead","2018","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046765780&doi=10.1007%2f978-981-10-8536-9_34&partnerID=40&md5=7a77e05aa397b378588716d00963d610"
"Double weight-based SAR and infrared sensor fusion for automatic ground target recognition with deep learning","2018","16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040668828&doi=10.3390%2frs10010072&partnerID=40&md5=b7c0081470f025f230d6a2b994b0b982"
"New approaches to therapy of classical Ph-negative myeloproliferative diseases: The experience of early therapy with cepeginterferon alpha-2b","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047607085&doi=10.17650%2f1818-8346-2018-13-1-29-44&partnerID=40&md5=6b13f1fb90f04b030488e749dd990ff8"
"Dynamic multi-hop routing protocol based on fuzzy-firefly algorithm for data similarity aware node clustering in WSNs","2018","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042744141&doi=10.15837%2fijccc.2018.1.3088&partnerID=40&md5=0b569dbe7a3c5417f8c71c27c0caeb3a"
"Foundation of the Surfer Data Management Architecture and Its Application to Train Transportation","2018","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042063093&doi=10.1007%2f978-3-319-73751-5_9&partnerID=40&md5=2114a4dd5dc72f3565f1df0cbebb94b3"
"Trust and resource oriented communication scheme in mobile ad hoc networks","2018","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040247557&doi=10.1007%2f978-3-319-69266-1_20&partnerID=40&md5=977b5ab7fd65624863565770959d09b6"
"Approaches and Measures to Detect Wormhole Attack in Wireless Sensor Networks: A Survey","2018","10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048019642&doi=10.1007%2f978-981-10-7901-6_92&partnerID=40&md5=40e5a0037859f377ee5b9506bb6f2bc7"
"Mine detecting robot with multi sensors controlled using HC-12 module","2018","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046350284&doi=10.14419%2fijet.v7i2.24.12050&partnerID=40&md5=6b233019f02c5ae7d5d9912e5309cae2"
"A study in virtual educational training system for police with augmented reality technology","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042498383&doi=10.3923%2fjeasci.2018.70.74&partnerID=40&md5=9d1e0e82eb053afe5c9667147604dd79"
"Design and development of a wearable device for heat stroke detection","2018","24","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039706106&doi=10.3390%2fs18010017&partnerID=40&md5=688a22c6bc7e87c19490e5c5cf670c22"
"Use of intelligent water drops (IWD) for intelligent autonomous force deployment","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048347059&doi=10.1007%2f978-3-319-54978-1_98&partnerID=40&md5=062b631f850a6cf1b309d6be44ec913f"
"An initiative network defence strategy based on game theory","2018","0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045376509&doi=10.1504%2fIJADS.2018.090931&partnerID=40&md5=cc632f3c5eb402cc369c00ab20cce1d6"
"Using telemetry for maintenance of special military vehicles","2018","7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044069651&doi=10.1007%2f978-3-319-76072-8_28&partnerID=40&md5=c8bf4ddcff456cb01288df624182f440"
